class,precision,recall,f1,support,class_accuracy,roc_auc
shark,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9330888888888889
shrew,0.77,0.77,0.77,100,0.77,0.9536202020202019
skunk,0.76,0.76,0.76,100,0.76,0.9497818181818181
skyscraper,0.7450980392156863,0.76,0.7524752475247525,100,0.76,0.9512141414141414
snail,0.7878787878787878,0.78,0.7839195979899497,100,0.78,0.936379797979798
snake,0.7604166666666666,0.73,0.7448979591836735,100,0.73,0.9374939393939394
spider,0.8023255813953488,0.69,0.7419354838709677,100,0.69,0.906069696969697
squirrel,0.7938144329896907,0.77,0.7817258883248731,100,0.77,0.9316575757575756
streetcar,0.8829787234042553,0.83,0.8556701030927835,100,0.83,0.9596646464646464
sunflower,0.8181818181818182,0.81,0.8140703517587939,100,0.81,0.9594242424242424
sweet_pepper,0.8421052631578947,0.8,0.8205128205128205,100,0.8,0.9551000000000001
table,0.7980769230769231,0.83,0.8137254901960784,100,0.83,0.9662353535353536
tank,0.75,0.84,0.7924528301886793,100,0.84,0.973689898989899
telephone,0.76,0.76,0.76,100,0.76,0.9557080808080808
television,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9560767676767676
tiger,0.6836734693877551,0.67,0.6767676767676768,100,0.67,0.9022333333333333
tractor,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.9490909090909091
train,0.75,0.84,0.7924528301886793,100,0.84,0.9553555555555555
trout,0.7745098039215687,0.79,0.7821782178217822,100,0.79,0.9447171717171717
tulip,0.7722772277227723,0.78,0.7761194029850746,100,0.78,0.9445111111111111
turtle,0.7682926829268293,0.63,0.6923076923076923,100,0.63,0.907529292929293
wardrobe,0.8152173913043478,0.75,0.78125,100,0.75,0.9446434343434343
whale,0.7403846153846154,0.77,0.7549019607843137,100,0.77,0.9326050505050505
willow_tree,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9544494949494948
wolf,0.8191489361702128,0.77,0.7938144329896907,100,0.77,0.9319464646464646
woman,0.7441860465116279,0.64,0.6881720430107527,100,0.64,0.9132414141414141
worm,0.6730769230769231,0.7,0.6862745098039216,100,0.7,0.9270424242424242
macro_avg,0.7713580445431361,0.7706000000000001,0.770114136950862,10000,0.7706000000000001,0.944588090909091
weighted_avg,0.7713580445431361,0.7706,0.770114136950862,10000,0.7706000000000001,0.9445880909090909
overall,,,,10000,0.7706,0.944588090909091
