class,precision,recall,f1,support,class_accuracy,roc_auc
n02999410,0.7407407407407407,0.8,0.7692307692307693,50,0.8,0.9652703517587939
n03617480,0.6779661016949152,0.8,0.7339449541284404,50,0.8,0.9481849246231157
n06596364,0.8235294117647058,0.84,0.8316831683168316,50,0.84,0.9634934673366835
n01768244,0.5555555555555556,0.6,0.5769230769230769,50,0.6,0.9198170854271357
n02410509,0.6981132075471698,0.74,0.7184466019417476,50,0.74,0.9075939698492462
n03976657,0.6607142857142857,0.74,0.6981132075471698,50,0.74,0.931889447236181
n01742172,0.5535714285714286,0.62,0.5849056603773585,50,0.62,0.8833246231155779
n03980874,0.7567567567567568,0.56,0.6436781609195402,50,0.56,0.8750874371859296
n02808440,0.6923076923076923,0.54,0.6067415730337079,50,0.54,0.895278391959799
n02226429,0.6976744186046512,0.6,0.6451612903225806,50,0.6,0.906259296482412
n02231487,0.5576923076923077,0.58,0.5686274509803921,50,0.58,0.9497366834170854
n02085620,0.574468085106383,0.54,0.5567010309278351,50,0.54,0.8588160804020101
n01644900,0.6785714285714286,0.76,0.7169811320754716,50,0.76,0.9277286432160804
n02129165,0.7608695652173914,0.7,0.7291666666666666,50,0.7,0.9324884422110553
n02699494,0.7446808510638298,0.7,0.7216494845360825,50,0.7,0.9205628140703518
n03837869,0.7,0.7,0.7,50,0.7,0.9137045226130653
n02815834,0.6346153846153846,0.66,0.6470588235294118,50,0.66,0.9027979899497488
n07720875,0.7777777777777778,0.7,0.7368421052631579,50,0.7,0.8989748743718593
n02788148,0.6785714285714286,0.76,0.7169811320754716,50,0.76,0.9040341708542714
n02909870,0.7142857142857143,0.7,0.7070707070707071,50,0.7,0.9060361809045225
n03706229,0.6296296296296297,0.68,0.6538461538461539,50,0.68,0.921286432160804
n07871810,0.58,0.58,0.58,50,0.58,0.8557768844221106
n03447447,0.6730769230769231,0.7,0.6862745098039216,50,0.7,0.9058090452261306
n02113799,0.6724137931034483,0.78,0.7222222222222222,50,0.78,0.9571396984924624
n12267677,0.660377358490566,0.7,0.6796116504854369,50,0.7,0.912102512562814
n03662601,0.68,0.68,0.68,50,0.68,0.9104341708542714
n02841315,0.7346938775510204,0.72,0.7272727272727273,50,0.72,0.876462311557789
n07715103,0.6938775510204082,0.68,0.6868686868686869,50,0.68,0.9097628140703518
n02504458,0.5901639344262295,0.72,0.6486486486486487,50,0.72,0.9225427135678391
macro_avg,0.6583830242622827,0.6555,0.6548943517691675,10000,0.6555,0.9075308542713568
weighted_avg,0.6583830242622826,0.6583830242622826,0.6548943517691675,10000,0.6555,0.9075308542713566
overall,,,,10000,0.6555,0.9075308542713568
